project;version;from;to;days;commits;commitsPerDay;accumulated_commits;committers;committers_weigth;changes;additions;deletions;changed_files;bugs;code_smells;cognitive_complexity;critical_violations;complexity;duplicated_blocks;duplicated_files;duplicated_lines;duplicated_lines_density;info_violations;violations;major_violations;minor_violations;open_issues;statements;;
Ant-Media-Server;1.8.0-SNAPSHOT;2019-05-15T08:43:55+0200;2019-08-25T10:24:11+0200;103;319;30.971;1750;10;0.0132;97827;58484;39343;122;26;825;3938;140;3894;14;9;325;0.9;22;909;434;297;909;9594;;
Ant-Media-Server;1.7.0-SNAPSHOT;2019-03-21T13:20:29+0100;2019-05-15T08:43:55+0200;55;140;25.455;1431;8;0.0667;19854;14776;5078;78;31;1058;4090;209;4021;10;7;251;0.5;32;1156;561;338;1156;10190;;
Ant-Media-Server;1.6.2-SNAPSHOT;2019-01-06T01:04:20+0100;2019-03-21T13:20:29+0100;75;182;24.267;1291;10;0.0216;69777;23912;45865;223;31;1056;4028;210;3919;12;8;294;0.6;32;1153;565;332;1153;9960;;
Ant-Media-Server;1.6.1-SNAPSHOT;2018-12-17T07:27:05+0100;2019-01-06T01:04:20+0100;20;89;4.45;1109;7;0.0378;91662;14214;77448;345;31;1045;3958;210;3826;12;8;293;0.6;32;1144;564;332;1144;9765;;
Ant-Media-Server;1.6.0;2018-12-16T15:07:00+0100;2018-12-17T07:27:05+0100;1;4;4.0;1020;4;0.25;262;63;199;3;31;1045;3923;210;3800;12;8;293;0.6;32;1144;564;332;1144;9704;;
Ant-Media-Server;1.6.0-SNAPSHOT;2018-11-19T08:17:12+0100;2018-12-16T15:07:00+0100;28;108;38.572;1016;6;0.1103;315746;15776;299970;492;31;1045;3923;210;3800;12;8;293;0.6;32;1144;564;332;1144;9704;;
Ant-Media-Server;1.5.2;2018-11-13T08:28:12+0100;2018-11-19T08:17:12+0100;6;20;33.334;908;4;0.1817;10308;1529;8779;113;31;1158;3989;284;4062;14;8;319;0.8;37;1365;605;433;1365;10130;;
Ant-Media-Server;1.5.2-SNAPSHOT;2018-10-15T08:59:04+0200;2018-11-13T08:28:12+0100;30;80;26.667;888;6;0.107;723891;280387;443504;358;31;1158;3989;284;4062;14;8;319;0.8;37;1365;605;433;1365;10130;;
Ant-Media-Server;1.5.1.1;2018-10-09T21:07:09+0200;2018-10-15T08:59:04+0200;6;20;33.334;808;4;0.192;458;239;219;26;24;1150;3982;215;4063;14;8;319;0.8;37;1281;600;423;1281;10131;;
Ant-Media-Server;1.5.1;2018-09-22T20:16:54+0200;2018-10-09T21:07:09+0200;18;67;37.223;788;6;0.066;50248;13244;37004;416;24;1150;3982;215;4063;14;8;319;0.8;37;1281;600;423;1281;10131;;
Ant-Media-Server;1.5.0;2018-09-14T17:03:46+0200;2018-09-22T20:16:54+0200;9;27;3.0;721;5;0.0548;2575;2179;396;60;24;1152;3953;215;3998;14;8;318;0.8;37;1283;602;423;1283;10037;;
Ant-Media-Server;1.5.0-SNAPSHOT;2018-08-13T16:11:22+0200;2018-09-14T17:03:46+0200;33;81;24.546;694;8;0.028;23732;18246;5486;121;24;1152;3953;215;3998;14;8;318;0.8;37;1283;602;423;1283;10037;;
Ant-Media-Server;1.4.1;2018-08-05T17:03:05+0200;2018-08-13T16:11:22+0200;8;5;0.625;613;3;0.3;54;35;19;10;24;1241;3888;220;3874;14;8;327;0.9;37;1384;667;454;1384;9728;;
Ant-Media-Server;1.4.0;2018-06-25T17:14:21+0200;2018-08-05T17:03:05+0200;41;111;27.074;608;5;0.031;33384;21381;12003;157;24;1241;3888;220;3874;14;8;327;0.9;37;1384;667;454;1384;9730;;
Ant-Media-Server;1.3.6.2;2018-06-18T17:38:52+0200;2018-06-25T17:14:21+0200;7;14;2.0;497;5;0.151;1083;497;586;46;24;1443;3870;232;3862;18;10;428;1.1;62;1649;790;559;1649;9717;;
